Dataset,Model,AUC,Method,Normalization
PAR3,SVM,0.7844225427350427,None,LogTSS
ART,SVM,0.5376209150326797,None,LogTSS
CDI,Boosting,0.90952918009309,Rare,LogTSS
CIR,Boosting,0.5155454545454545,Rare,LogTSS
CRC1,Boosting,0.627909551755327,Rare,LogTSS
CRC2,Boosting,0.728915824915825,Rare,LogTSS
CD1,Boosting,0.7785384615384616,Rare,LogTSS
CD2,Boosting,0.7120834136623609,Rare,LogTSS
HIV,Boosting,0.6487521917007598,Rare,LogTSS
IBD1,Boosting,0.7618846153846154,Rare,LogTSS
IBD2,Boosting,0.5028180708180708,Rare,LogTSS
MHE,Boosting,0.5078848484848484,Rare,LogTSS
OB,Boosting,0.6214685314685314,Rare,LogTSS
PAR1,Boosting,0.6246730158730159,Rare,LogTSS
PAR2,Boosting,0.7111074977416442,Rare,LogTSS
PAR3,Boosting,0.7866334026334028,Rare,LogTSS
ART,Boosting,0.6566535947712419,Rare,LogTSS
CDI,KNN,0.6231234335839599,Rare,LogTSS
CIR,KNN,0.5112363636363636,Rare,LogTSS
CRC1,KNN,0.582797027828611,Rare,LogTSS
CRC2,KNN,0.710774410774411,Rare,LogTSS
CD1,KNN,0.7470961538461539,Rare,LogTSS
CD2,KNN,0.7034930274403959,Rare,LogTSS
HIV,KNN,0.6611363193595807,Rare,LogTSS
IBD1,KNN,0.6768736263736264,Rare,LogTSS
IBD2,KNN,0.5156288156288156,Rare,LogTSS
MHE,KNN,0.4987636363636363,Rare,LogTSS
OB,KNN,0.6322027972027972,Rare,LogTSS
PAR1,KNN,0.607568253968254,Rare,LogTSS
PAR2,KNN,0.6460141407824335,Rare,LogTSS
PAR3,KNN,0.6670515419265419,Rare,LogTSS
ART,KNN,0.5100915032679738,Rare,LogTSS
CDI,LogisticRegression,0.8951894617496123,Rare,LogTSS
CIR,LogisticRegression,0.5701212121212121,Rare,LogTSS
CRC1,LogisticRegression,0.666451441913296,Rare,LogTSS
CRC2,LogisticRegression,0.7925925925925925,Rare,LogTSS
CD1,LogisticRegression,0.8211121794871796,Rare,LogTSS
CD2,LogisticRegression,0.7886768202557676,Rare,LogTSS
HIV,LogisticRegression,0.752760214653844,Rare,LogTSS
IBD1,LogisticRegression,0.8468351648351649,Rare,LogTSS
IBD2,LogisticRegression,0.6280927960927961,Rare,LogTSS
MHE,LogisticRegression,0.6439393939393939,Rare,LogTSS
OB,LogisticRegression,0.7377156177156177,Rare,LogTSS
PAR1,LogisticRegression,0.6902603174603175,Rare,LogTSS
PAR2,LogisticRegression,0.7399730039608088,Rare,LogTSS
PAR3,LogisticRegression,0.7739495264495264,Rare,LogTSS
ART,LogisticRegression,0.6703790849673203,Rare,LogTSS
CDI,RandomForest,0.8994384771452439,Rare,LogTSS
CIR,RandomForest,0.6010484848484849,Rare,LogTSS
CRC1,RandomForest,0.6910433590655084,Rare,LogTSS
CRC2,RandomForest,0.8094579124579124,Rare,LogTSS
CD1,RandomForest,0.8269903846153847,Rare,LogTSS
CD2,RandomForest,0.7888651114966904,Rare,LogTSS
HIV,RandomForest,0.7837567079326284,Rare,LogTSS
IBD1,RandomForest,0.7836208791208792,Rare,LogTSS
IBD2,RandomForest,0.635997557997558,Rare,LogTSS
MHE,RandomForest,0.6210181818181819,Rare,LogTSS
OB,RandomForest,0.7312937062937063,Rare,LogTSS
PAR1,RandomForest,0.639136507936508,Rare,LogTSS
PAR2,RandomForest,0.7386526996039193,Rare,LogTSS
PAR3,RandomForest,0.7698331167706166,Rare,LogTSS
ART,RandomForest,0.6056993464052288,Rare,LogTSS
CDI,SVM,0.8993277837450768,Rare,LogTSS
CIR,SVM,0.5723030303030303,Rare,LogTSS
CRC1,SVM,0.6691336705860906,Rare,LogTSS
CRC2,SVM,0.7559797979797979,Rare,LogTSS
CD1,SVM,0.8085528846153847,Rare,LogTSS
CD2,SVM,0.7886350491613647,Rare,LogTSS
HIV,SVM,0.7899505871101428,Rare,LogTSS
IBD1,SVM,0.8514505494505493,Rare,LogTSS
IBD2,SVM,0.5098095238095238,Rare,LogTSS
MHE,SVM,0.5718909090909091,Rare,LogTSS
OB,SVM,0.7341608391608391,Rare,LogTSS
PAR1,SVM,0.5092825396825398,Rare,LogTSS
PAR2,SVM,0.7387073344451394,Rare,LogTSS
PAR3,SVM,0.7816815517440519,Rare,LogTSS
ART,SVM,0.5853333333333334,Rare,LogTSS
CDI,Boosting,0.912033338774918,RareQ5,LogTSS
CIR,Boosting,0.5868444444444445,RareQ5,LogTSS
CRC1,Boosting,0.627909551755327,RareQ5,LogTSS
CRC2,Boosting,0.7278181818181818,RareQ5,LogTSS
CD1,Boosting,0.7561313131313132,RareQ5,LogTSS
CD2,Boosting,0.7413247863247864,RareQ5,LogTSS
HIV,Boosting,0.7541511216056671,RareQ5,LogTSS
IBD1,Boosting,0.7333846153846153,RareQ5,LogTSS
IBD2,Boosting,0.6707834757834757,RareQ5,LogTSS
MHE,Boosting,0.5661999999999999,RareQ5,LogTSS
OB,Boosting,0.7632967303699012,RareQ5,LogTSS
PAR1,Boosting,0.6960973312401885,RareQ5,LogTSS
PAR2,Boosting,0.7191125506072873,RareQ5,LogTSS
PAR3,Boosting,0.7528564055859138,RareQ5,LogTSS
ART,Boosting,0.5203382352941177,RareQ5,LogTSS
CDI,KNN,0.6325030382180624,RareQ5,LogTSS
CIR,KNN,0.6229777777777777,RareQ5,LogTSS
CRC1,KNN,0.582797027828611,RareQ5,LogTSS
CRC2,KNN,0.6934040404040404,RareQ5,LogTSS
CD1,KNN,0.7442474747474748,RareQ5,LogTSS
CD2,KNN,0.726766381766382,RareQ5,LogTSS
HIV,KNN,0.8095194805194805,RareQ5,LogTSS
IBD1,KNN,0.6641538461538461,RareQ5,LogTSS
IBD2,KNN,0.6100925925925926,RareQ5,LogTSS
MHE,KNN,0.6058,RareQ5,LogTSS
OB,KNN,0.8354590328370816,RareQ5,LogTSS
PAR1,KNN,0.6047231815803245,RareQ5,LogTSS
PAR2,KNN,0.6468761133603238,RareQ5,LogTSS
PAR3,KNN,0.6487346690953248,RareQ5,LogTSS
ART,KNN,0.5602205882352941,RareQ5,LogTSS
CDI,LogisticRegression,0.915779386068334,RareQ5,LogTSS
CIR,LogisticRegression,0.7015111111111112,RareQ5,LogTSS
CRC1,LogisticRegression,0.666451441913296,RareQ5,LogTSS
CRC2,LogisticRegression,0.7791010101010101,RareQ5,LogTSS
CD1,LogisticRegression,0.824909090909091,RareQ5,LogTSS
CD2,LogisticRegression,0.8156695156695157,RareQ5,LogTSS
HIV,LogisticRegression,0.8215537190082643,RareQ5,LogTSS
IBD1,LogisticRegression,0.7698461538461538,RareQ5,LogTSS
IBD2,LogisticRegression,0.6032051282051282,RareQ5,LogTSS
MHE,LogisticRegression,0.6948000000000001,RareQ5,LogTSS
OB,LogisticRegression,0.8944018583042974,RareQ5,LogTSS
PAR1,LogisticRegression,0.720915750915751,RareQ5,LogTSS
PAR2,LogisticRegression,0.7309246963562753,RareQ5,LogTSS
PAR3,LogisticRegression,0.7753896478445658,RareQ5,LogTSS
ART,LogisticRegression,0.6358676470588235,RareQ5,LogTSS
CDI,RandomForest,0.9072944441421342,RareQ5,LogTSS
CIR,RandomForest,0.7770666666666668,RareQ5,LogTSS
CRC1,RandomForest,0.6910433590655084,RareQ5,LogTSS
CRC2,RandomForest,0.8302727272727273,RareQ5,LogTSS
CD1,RandomForest,0.820328282828283,RareQ5,LogTSS
CD2,RandomForest,0.8077564102564102,RareQ5,LogTSS
HIV,RandomForest,0.7841953955135774,RareQ5,LogTSS
IBD1,RandomForest,0.7780769230769231,RareQ5,LogTSS
IBD2,RandomForest,0.6342592592592593,RareQ5,LogTSS
MHE,RandomForest,0.7245999999999999,RareQ5,LogTSS
OB,RandomForest,0.8977296484003802,RareQ5,LogTSS
PAR1,RandomForest,0.6996305599162743,RareQ5,LogTSS
PAR2,RandomForest,0.7333489878542511,RareQ5,LogTSS
PAR3,RandomForest,0.7733630843958713,RareQ5,LogTSS
ART,RandomForest,0.6917107843137255,RareQ5,LogTSS
CDI,SVM,0.9134260821195574,RareQ5,LogTSS
CIR,SVM,0.6762666666666668,RareQ5,LogTSS
CRC1,SVM,0.6691336705860906,RareQ5,LogTSS
CRC2,SVM,0.6791464646464647,RareQ5,LogTSS
CD1,SVM,0.8248484848484848,RareQ5,LogTSS
CD2,SVM,0.830925925925926,RareQ5,LogTSS
HIV,SVM,0.8458134592680047,RareQ5,LogTSS
IBD1,SVM,0.7656923076923077,RareQ5,LogTSS
IBD2,SVM,0.5987606837606837,RareQ5,LogTSS
MHE,SVM,0.6679999999999999,RareQ5,LogTSS
OB,SVM,0.915580192165558,RareQ5,LogTSS
PAR1,SVM,0.5223432757718472,RareQ5,LogTSS
PAR2,SVM,0.74222995951417,RareQ5,LogTSS
PAR3,SVM,0.7726432908318154,RareQ5,LogTSS
ART,SVM,0.5490343137254903,RareQ5,LogTSS
CDI,Boosting,0.9092418546365916,None,PA
CIR,Boosting,0.7592848484848485,None,PA
CRC1,Boosting,0.65101998275173,None,PA
CRC2,Boosting,0.6376296296296295,None,PA
CD1,Boosting,0.7375448717948718,None,PA
CD2,Boosting,0.7853177816335711,None,PA
HIV,Boosting,0.7356428988895383,None,PA
IBD1,Boosting,0.7796813186813187,None,PA
IBD2,Boosting,0.611921855921856,None,PA
MHE,Boosting,0.7144242424242424,None,PA
OB,Boosting,0.8658682983682984,None,PA
PAR1,Boosting,0.5828571428571429,None,PA
PAR2,Boosting,0.7174655340143145,None,PA
PAR3,Boosting,0.7524006699006699,None,PA
ART,Boosting,0.5771764705882352,None,PA
CDI,KNN,0.6929447129729084,None,PA
CIR,KNN,0.5722787878787879,None,PA
CRC1,KNN,0.5695970600814736,None,PA
CRC2,KNN,0.7421077441077442,None,PA
CD1,KNN,0.7503990384615384,None,PA
CD2,KNN,0.7590338024548552,None,PA
HIV,KNN,0.6938157288844023,None,PA
IBD1,KNN,0.7748791208791208,None,PA
IBD2,KNN,0.6727374847374847,None,PA
MHE,KNN,0.6734545454545454,None,PA
OB,KNN,0.7708682983682984,None,PA
PAR1,KNN,0.5450539682539683,None,PA
PAR2,KNN,0.6761216037801403,None,PA
PAR3,KNN,0.6824140967890968,None,PA
ART,KNN,0.5485098039215687,None,PA
CDI,LogisticRegression,0.9224143692564744,None,PA
CIR,LogisticRegression,0.8705333333333333,None,PA
CRC1,LogisticRegression,0.6750141001100805,None,PA
CRC2,LogisticRegression,0.7844511784511785,None,PA
CD1,LogisticRegression,0.7817115384615385,None,PA
CD2,LogisticRegression,0.812002442002442,None,PA
HIV,LogisticRegression,0.7586568195101218,None,PA
IBD1,LogisticRegression,0.813945054945055,None,PA
IBD2,LogisticRegression,0.6915750915750916,None,PA
MHE,LogisticRegression,0.788290909090909,None,PA
OB,LogisticRegression,0.9314102564102564,None,PA
PAR1,LogisticRegression,0.6458412698412698,None,PA
PAR2,LogisticRegression,0.7740159127232298,None,PA
PAR3,LogisticRegression,0.7876701605451605,None,PA
ART,LogisticRegression,0.6098562091503268,None,PA
CDI,RandomForest,0.9034944504117436,None,PA
CIR,RandomForest,0.7992060606060606,None,PA
CRC1,RandomForest,0.689632583804856,None,PA
CRC2,RandomForest,0.8178484848484848,None,PA
CD1,RandomForest,0.7864118589743591,None,PA
CD2,RandomForest,0.8292481203007519,None,PA
HIV,RandomForest,0.690299001115775,None,PA
IBD1,RandomForest,0.8173516483516484,None,PA
IBD2,RandomForest,0.6991233211233212,None,PA
MHE,RandomForest,0.806218181818182,None,PA
OB,RandomForest,0.8474329836829837,None,PA
PAR1,RandomForest,0.6422984126984127,None,PA
PAR2,RandomForest,0.7503490549649087,None,PA
PAR3,RandomForest,0.7531286238161239,None,PA
ART,RandomForest,0.5374771241830065,None,PA
CDI,SVM,0.9216359350757848,None,PA
CIR,SVM,0.8389212121212123,None,PA
CRC1,SVM,0.6710840888215786,None,PA
CRC2,SVM,0.7326464646464647,None,PA
CD1,SVM,0.7869070512820514,None,PA
CD2,SVM,0.81324657798342,None,PA
HIV,SVM,0.7692321520287622,None,PA
IBD1,SVM,0.8071538461538462,None,PA
IBD2,SVM,0.7108840048840048,None,PA
MHE,SVM,0.7915151515151515,None,PA
OB,SVM,0.9349708624708624,None,PA
PAR1,SVM,0.4728126984126984,None,PA
PAR2,SVM,0.7684454172746856,None,PA
PAR3,SVM,0.7803829695079695,None,PA
ART,SVM,0.497202614379085,None,PA
CDI,Boosting,0.8518886501969208,Rare,PA
CIR,Boosting,0.5188424242424243,Rare,PA
CRC1,Boosting,0.65101998275173,Rare,PA
CRC2,Boosting,0.7099461279461281,Rare,PA
CD1,Boosting,0.8094711538461539,Rare,PA
CD2,Boosting,0.7369558511663774,Rare,PA
HIV,Boosting,0.6662489594955988,Rare,PA
IBD1,Boosting,0.7221043956043957,Rare,PA
IBD2,Boosting,0.5263003663003664,Rare,PA
MHE,Boosting,0.5342484848484849,Rare,PA
OB,Boosting,0.6649766899766899,Rare,PA
PAR1,Boosting,0.6126095238095238,Rare,PA
PAR2,Boosting,0.7181990480161211,Rare,PA
PAR3,Boosting,0.7586739431739431,Rare,PA
ART,Boosting,0.5865359477124182,Rare,PA
CDI,KNN,0.6951736484067311,Rare,PA
CIR,KNN,0.5082969696969697,Rare,PA
CRC1,KNN,0.5695970600814736,Rare,PA
CRC2,KNN,0.7668350168350168,Rare,PA
CD1,KNN,0.7508333333333332,Rare,PA
CD2,KNN,0.7251355953987533,Rare,PA
HIV,KNN,0.6871722632520413,Rare,PA
IBD1,KNN,0.687879120879121,Rare,PA
IBD2,KNN,0.5306666666666666,Rare,PA
MHE,KNN,0.5612545454545455,Rare,PA
OB,KNN,0.6153263403263403,Rare,PA
PAR1,KNN,0.5858222222222222,Rare,PA
PAR2,KNN,0.6773518344798832,Rare,PA
PAR3,KNN,0.6709546373296372,Rare,PA
ART,KNN,0.5509019607843137,Rare,PA
CDI,LogisticRegression,0.8673194891991883,Rare,PA
CIR,LogisticRegression,0.5747878787878787,Rare,PA
CRC1,LogisticRegression,0.6750141001100805,Rare,PA
CRC2,LogisticRegression,0.7770572390572391,Rare,PA
CD1,LogisticRegression,0.8318653846153845,Rare,PA
CD2,LogisticRegression,0.7820628494312705,Rare,PA
HIV,LogisticRegression,0.7504455129908081,Rare,PA
IBD1,LogisticRegression,0.8134945054945055,Rare,PA
IBD2,LogisticRegression,0.6455140415140416,Rare,PA
MHE,LogisticRegression,0.6260121212121212,Rare,PA
OB,LogisticRegression,0.7349475524475525,Rare,PA
PAR1,LogisticRegression,0.6394539682539683,Rare,PA
PAR2,LogisticRegression,0.7627893475088596,Rare,PA
PAR3,LogisticRegression,0.7829074266574265,Rare,PA
ART,LogisticRegression,0.6721045751633987,Rare,PA
CDI,RandomForest,0.8777128833989736,Rare,PA
CIR,RandomForest,0.6000909090909091,Rare,PA
CRC1,RandomForest,0.689632583804856,Rare,PA
CRC2,RandomForest,0.8015016835016836,Rare,PA
CD1,RandomForest,0.8185416666666667,Rare,PA
CD2,RandomForest,0.791650922177238,Rare,PA
HIV,RandomForest,0.7766585640153729,Rare,PA
IBD1,RandomForest,0.7685274725274724,Rare,PA
IBD2,RandomForest,0.6685054945054947,Rare,PA
MHE,RandomForest,0.6275090909090908,Rare,PA
OB,RandomForest,0.7370833333333333,Rare,PA
PAR1,RandomForest,0.6378285714285714,Rare,PA
PAR2,RandomForest,0.7471098950733098,Rare,PA
PAR3,RandomForest,0.7612897609147611,Rare,PA
ART,RandomForest,0.5858562091503268,Rare,PA
CDI,SVM,0.8695527509249313,Rare,PA
CIR,SVM,0.5363030303030303,Rare,PA
CRC1,SVM,0.6710840888215786,Rare,PA
CRC2,SVM,0.7030639730639732,Rare,PA
CD1,SVM,0.8299423076923077,Rare,PA
CD2,SVM,0.7877996272733114,Rare,PA
HIV,SVM,0.7668768042789083,Rare,PA
IBD1,SVM,0.814978021978022,Rare,PA
IBD2,SVM,0.5469035409035409,Rare,PA
MHE,SVM,0.5213212121212122,Rare,PA
OB,SVM,0.7227564102564102,Rare,PA
PAR1,SVM,0.470984126984127,Rare,PA
PAR2,SVM,0.759339344034466,Rare,PA
PAR3,SVM,0.7735923712173712,Rare,PA
ART,SVM,0.5822745098039216,Rare,PA
CDI,Boosting,0.8946248632046097,RareQ5,PA
CIR,Boosting,0.6177777777777778,RareQ5,PA
CRC1,Boosting,0.65101998275173,RareQ5,PA
CRC2,Boosting,0.6896666666666667,RareQ5,PA
CD1,Boosting,0.7763131313131314,RareQ5,PA
CD2,Boosting,0.7746866096866097,RareQ5,PA
HIV,Boosting,0.7821735537190083,RareQ5,PA
IBD1,Boosting,0.7144615384615385,RareQ5,PA
IBD2,Boosting,0.5922792022792024,RareQ5,PA
MHE,Boosting,0.5598,RareQ5,PA
OB,Boosting,0.7767979446028227,RareQ5,PA
PAR1,Boosting,0.6239675562532706,RareQ5,PA
PAR2,Boosting,0.7015417004048584,RareQ5,PA
PAR3,Boosting,0.751528233151184,RareQ5,PA
ART,Boosting,0.5090735294117646,RareQ5,PA
CDI,KNN,0.697947736603121,RareQ5,PA
CIR,KNN,0.7209333333333334,RareQ5,PA
CRC1,KNN,0.5695970600814736,RareQ5,PA
CRC2,KNN,0.7826161616161617,RareQ5,PA
CD1,KNN,0.7762601010101011,RareQ5,PA
CD2,KNN,0.751908831908832,RareQ5,PA
HIV,KNN,0.8097378984651712,RareQ5,PA
IBD1,KNN,0.7034615384615384,RareQ5,PA
IBD2,KNN,0.6062606837606838,RareQ5,PA
MHE,KNN,0.6342000000000001,RareQ5,PA
OB,KNN,0.8389372822299651,RareQ5,PA
PAR1,KNN,0.594108843537415,RareQ5,PA
PAR2,KNN,0.6592097165991904,RareQ5,PA
PAR3,KNN,0.6801127808136005,RareQ5,PA
ART,KNN,0.6192377450980391,RareQ5,PA
CDI,LogisticRegression,0.9080977429516364,RareQ5,PA
CIR,LogisticRegression,0.780177777777778,RareQ5,PA
CRC1,LogisticRegression,0.6750141001100805,RareQ5,PA
CRC2,LogisticRegression,0.7666262626262628,RareQ5,PA
CD1,LogisticRegression,0.8265505050505051,RareQ5,PA
CD2,LogisticRegression,0.8162962962962962,RareQ5,PA
HIV,LogisticRegression,0.7870625737898465,RareQ5,PA
IBD1,LogisticRegression,0.7467692307692307,RareQ5,PA
IBD2,LogisticRegression,0.6705128205128205,RareQ5,PA
MHE,LogisticRegression,0.7219999999999999,RareQ5,PA
OB,LogisticRegression,0.8926551226551227,RareQ5,PA
PAR1,LogisticRegression,0.6550685504971219,RareQ5,PA
PAR2,LogisticRegression,0.7503643724696357,RareQ5,PA
PAR3,LogisticRegression,0.7879192471159685,RareQ5,PA
ART,LogisticRegression,0.6778627450980391,RareQ5,PA
CDI,RandomForest,0.9029809000380912,RareQ5,PA
CIR,RandomForest,0.7851111111111112,RareQ5,PA
CRC1,RandomForest,0.689632583804856,RareQ5,PA
CRC2,RandomForest,0.8086464646464647,RareQ5,PA
CD1,RandomForest,0.8071717171717172,RareQ5,PA
CD2,RandomForest,0.8074928774928776,RareQ5,PA
HIV,RandomForest,0.784164108618654,RareQ5,PA
IBD1,RandomForest,0.7841538461538461,RareQ5,PA
IBD2,RandomForest,0.6694515669515669,RareQ5,PA
MHE,RandomForest,0.7241000000000001,RareQ5,PA
OB,RandomForest,0.8818281244500757,RareQ5,PA
PAR1,RandomForest,0.6743364730507588,RareQ5,PA
PAR2,RandomForest,0.7419392712550607,RareQ5,PA
PAR3,RandomForest,0.7606030661809351,RareQ5,PA
ART,RandomForest,0.7155220588235294,RareQ5,PA
CDI,SVM,0.9103139794308102,RareQ5,PA
CIR,SVM,0.7471111111111113,RareQ5,PA
CRC1,SVM,0.6710840888215786,RareQ5,PA
CRC2,SVM,0.6332727272727272,RareQ5,PA
CD1,SVM,0.8245757575757575,RareQ5,PA
CD2,SVM,0.828062678062678,RareQ5,PA
HIV,SVM,0.8104144037780402,RareQ5,PA
IBD1,SVM,0.729076923076923,RareQ5,PA
IBD2,SVM,0.6519373219373219,RareQ5,PA
MHE,SVM,0.6588,RareQ5,PA
OB,SVM,0.9004258614014712,RareQ5,PA
PAR1,SVM,0.3887106227106227,RareQ5,PA
PAR2,SVM,0.7511417004048585,RareQ5,PA
PAR3,SVM,0.7787847601700061,RareQ5,PA
ART,SVM,0.6316960784313725,RareQ5,PA
